year,decile,Total,Percent,Value per person
1997,1,6366405083.595533,0.007632254280925187,439335.1103164401
1997,2,20042900363.99531,0.024028083368340496,1383032.042781901
1997,3,22842730828.552036,0.027384611545292332,1576230.3911504303
1997,4,28137081868.09797,0.03373165243504265,1941559.6099984797
1997,5,45012392127.830215,0.05396232536279203,3106016.5696819085
1997,6,62102807082.48504,0.074450872822104,4285316.525150776
1997,7,91082960577.45697,0.10919322705020651,6285051.102501861
1997,8,127293407366.27798,0.15260349295212267,8783701.86076994
1997,9,172569476216.9165,0.2068819225794108,11907913.070446903
1997,10,258694620519.46448,0.3101315576037633,17850857.06041019
1998,1,7258348602.708153,0.007913928588695131,496059.90997185296
1998,2,22054737812.55212,0.02404673978125128,1507294.8204313915
1998,3,24118319064.73184,0.02629670538095079,1648214.2462059618
1998,4,30551235166.5681,0.033310647729766114,2087973.9725647965
1998,5,47404383872.38624,0.05168598661921285,3239553.3296238803
1998,6,67531975556.8697,0.0736315188569431,4615361.916133796
1998,7,99631749382.09828,0.10863057052433496,6808702.88950306
1998,8,138952352150.90448,0.15150264231497287,9496470.212609656
1998,9,190132578083.06418,0.20730550813892518,12993410.652843859
1998,10,289525565997.9681,0.31567575206494775,19787149.12506616
1999,1,7959724672.806591,0.008148341073524487,536984.7313503738
1999,2,23687532660.585495,0.02424884066255585,1598025.5454756457
1999,3,25656812820.399826,0.026264785569081628,1730878.5549753644
1999,4,33771833076.27903,0.03457210216375832,2278339.9498265553
1999,5,51369796383.61315,0.0525870729224098,3465546.541429748
1999,6,73150827949.88174,0.07488423537848012,4934621.421335789
1999,7,106377474404.73567,0.10889823198925731,7176514.49805948
1999,8,148792993551.60913,0.15231884401118917,10037981.080186812
1999,9,203067147754.81424,0.2078790974249348,13699463.51985524
1999,10,303018028349.41754,0.3101984488048085,20442422.475168154
2000,1,9561588959.197641,0.009231198599697248,632129.3771782124
2000,2,25570887594.462833,0.024687313244934672,1690525.4260520185
2000,3,27173388537.345123,0.026234441501867174,1796350.1379880428
2000,4,38092390059.92541,0.036776148742730774,2518338.6262016003
2000,5,56250925253.87978,0.05430723540314825,3718823.5656406046
2000,6,79150977943.5388,0.07641600155319542,5232430.617011886
2000,7,113054870440.98953,0.1091483817341791,7474208.015403248
2000,8,157704945731.88617,0.15225562199106304,10425394.706940318
2000,9,213880459176.68915,0.20649005135859097,14139921.934198674
2000,10,315350190448.2532,0.30445360587059334,20848220.973704427
2001,1,9300307967.018538,0.008492311343397896,604622.8037328395
2001,2,25848299564.098522,0.02360263857650631,1680315.9048364118
2001,3,26890855522.293995,0.024554618857300044,1748089.1583107323
2001,4,40494291056.142,0.03697620858346412,2632405.321207957
2001,5,60326481592.35333,0.05508540854247234,3921633.074975839
2001,6,84060135076.93922,0.07675711827748202,5464482.55066887
2001,7,118925214642.0881,0.10859317271025817,7730950.701559391
2001,8,166702630324.03757,0.15221975911932384,10836808.83599022
2001,9,226961183341.21103,0.20724314061800508,14754026.089918159
2001,10,335635089963.7624,0.3064756233717901,21819990.245986372
2002,1,8135310387.875609,0.007311576115349767,523474.0613780072
2002,2,25178181890.81557,0.022628785450544014,1620113.3704919613
2002,3,26071184549.89201,0.023431367847741538,1677466.513311801
2002,4,37986311224.29871,0.034140038009090885,2444264.283141285
2002,5,59053311062.00765,0.05307391581970668,3799839.846985886
2002,6,81737825150.11922,0.07346152778373685,5259157.454003295
2002,7,119384346054.45488,0.10729618066685007,7681896.020491273
2002,8,168395589478.54636,0.1513448302841091,10834872.569717305
2002,9,232107678563.849,0.20860580332693118,14935182.971742423
2002,10,354611917556.14636,0.31870597469593986,22817831.38511977
2003,1,8072923268.870867,0.007019558586039836,508754.93249753385
2003,2,25393663547.515076,0.022080267958609966,1600306.5003475596
2003,3,27281197754.210854,0.02372151444464382,1719258.7442784759
2003,4,36650081097.94136,0.031867934685088826,2309684.969620706
2003,5,62398689124.55812,0.054256833542676006,3932360.0406199973
2003,6,85632419213.9738,0.07445899874394403,5396207.651016057
2003,7,124095743813.68266,0.10790358275016448,7820503.139254012
2003,8,174283242254.10687,0.15154255637298883,10983314.98954543
2003,9,240272648783.53085,0.2089215862192715,15141961.733270157
2003,10,365980776044.9158,0.3182271666965728,23064077.139205683
2004,1,8317328874.500456,0.006976125006432445,517278.9896449068
2004,2,27118013257.912643,0.02274512085163317,1686548.4954233873
2004,3,30190996857.4715,0.025322573066966773,1877666.3261068163
2004,4,37529345713.709724,0.03147758265410458,2333914.5344346846
2004,5,65332911736.4545,0.05479770803641547,4063244.7127591576
2004,6,88895120186.8915,0.07456041239235447,5528647.315560141
2004,7,128673185670.07005,0.10792409940195055,8002063.785452118
2004,8,180215016495.30988,0.15115459567337058,11208098.544393923
2004,9,247964701791.8341,0.20797936248330365,15421649.467742652
