year,decile,Total,Percent,Value per person
1997,1,0,0,0
1997,2,0,0,0
1997,3,5048021469.553951,0.0016504476626598413,348331.59464214405
1997,4,37573933000.18508,0.01228477538598356,2592736.199295134
1997,5,147135080757.60382,0.048105728471299805,10152848.520397725
1997,6,256380510333.76517,0.08382345768218163,17691175.154137813
1997,7,344000979209.0813,0.11247091865845261,23737301.905125678
1997,8,446276322783.6387,0.14590978233374435,30794667.594785996
1997,9,606244827194.7683,0.19821139115155878,41833068.3959956
1997,10,1215917451786.0447,0.39754349865411953,83902667.1119269
1998,1,0,0,0
1998,2,0,0,0
1998,3,5634770625.7865925,0.0017430113369593316,385072.8234665887
1998,4,41043096210.70827,0.01269591732302157,2805022.977768471
1998,5,153438351453.39578,0.04746329600067526,10485775.401721846
1998,6,268043855706.68243,0.08291437404052608,18319016.929106236
1998,7,359247325296.8202,0.11112646855563234,24550490.35036016
1998,8,465243773218.6993,0.14391449537606105,31796321.297068022
1998,9,630889657401.9318,0.1951539642429454,43114170.53249038
1998,10,1309238272725.894,0.404988473124179,89477738.70461278
1999,1,0,0,0
1999,2,0,0,0
1999,3,6205215000.220331,0.0017326641325607999,418620.72456455044
1999,4,46446595984.07732,0.012969147876148649,3133414.0176804503
1999,5,172622605149.89938,0.048200907849577444,11645591.658227038
1999,6,299885683397.2296,0.08373620696018008,20229741.189775337
1999,7,403315845884.9278,0.11261671033693767,27208786.74255736
1999,8,519566154379.4709,0.14507694578735653,35051349.54998792
1999,9,706879060855.7705,0.1973797837398974,47687988.99384541
1999,10,1426393234683.2354,0.39828763331734135,96228377.16273597
2000,1,0,0,0
2000,2,9426476.134601684,2.454031892598476e-6,623.1968884438506
2000,3,7531754431.546745,0.001960771482186182,497901.3969423379
2000,4,48131587143.2762,0.012530286843607819,3182043.312394301
2000,5,182977328248.7533,0.04763521306722902,12096874.801583584
2000,6,321373708698.2637,0.08366449130372898,21245039.247588
2000,7,433768725809.8311,0.11292473156981148,28677028.01863223
2000,8,557774019360.5162,0.1452075211169444,36872745.37981862
2000,9,760638070094.5676,0.19801992346692537,50286795.59001505
2000,10,1529015277095.643,0.39805460711767404,101085235.8254425
2001,1,0,0,0
2001,2,0,0,0
2001,3,6320310908.040543,0.0015336884706044238,410863.34967435105
2001,4,45420589464.83903,0.011021773359544594,2952648.3432905823
2001,5,205418964760.25418,0.04984702532521004,13353634.841074836
2001,6,359197445302.2425,0.08716295583335543,23350285.72464685
2001,7,473376519930.67584,0.11486968306399423,30772704.92951153
2001,8,601853082926.3168,0.14604584295173395,39124558.46884982
2001,9,819454889974.266,0.19884916030556235,53270161.21525489
2001,10,1609945626175.0955,0.390669870689995,104664258.62534751
2002,1,0,0,0
2002,2,0,0,0
2002,3,5841023682.009413,0.001399363558689173,375821.88148304034
2002,4,44105345168.09607,0.010566540409986612,2837999.174319289
2002,5,212849149519.99295,0.0509933462953868,13695975.13158696
2002,6,365777258979.0644,0.08763110623725939,23534761.226294197
2002,7,477719916207.88226,0.11444977428534907,30739329.271467876
2002,8,607907347889.592,0.14563943514151736,39113842.99894428
2002,9,827451209168.1958,0.1982366673618633,53243112.35880547
2002,10,1632406052607.2678,0.3910837667099482,105038675.28519836
2003,1,0,0,0
2003,2,0,0,0
2003,3,6237667706.383863,0.0013522565744304804,393097.2842440045
2003,4,46869180286.961945,0.010160713934207677,2953691.724663596
2003,5,240503775421.08545,0.05213852785964686,15156527.314159658
2003,6,404964135579.12244,0.08779169403092354,25519196.898299985
2003,7,525394871283.01105,0.1138997302048308,33110339.758193284
2003,8,669086852152.2146,0.1450505440938837,42165796.0771499
2003,9,905083658140.9856,0.19621201140261874,57038294.56396431
2003,10,1814644019130.7964,0.3933945218994582,114358710.55777644
2004,1,0,0,0
2004,2,0,0,0
2004,3,5892552752.973543,0.0011477691762924614,366475.07637126336
2004,4,45086431249.77764,0.008782070899816741,2803882.5404090574
2004,5,259261651048.89294,0.05049976540616428,16124239.756756822
2004,6,446094785869.29443,0.08689168623347256,27743938.420877818
2004,7,581148680541.2263,0.11319789068187049,36141087.09833497
2004,8,742293593084.0654,0.1445861821892619,46165407.866413675
2004,9,1016536039180.8079,0.1980039519838637,63221347.04775222
2004,10,2037604195666.8677,0.3968906834292579,126724559.71558353
2005,1,0,0,0
2005,2,0,0,0
2005,3,5557687417.339354,8.637581891610505e-4,333654.76480394753
2005,4,42525156929.81256,0.006609125304328278,2553143.4275824064
2005,5,280520874173.39355,0.043597666457802206,16841020.242144056
2005,6,538485282802.02496,0.08368967842844639,32327867.131057512
2005,7,722227506909.29,0.11224631338279117,43361401.71165286
2005,8,933324735166.6895,0.1450543765076905,56031982.65994413
2005,9,1296251725817.4854,0.20145934078548983,77820239.28783606
2005,10,2615416409358.325,0.4064797409442906,157025480.86925584
2006,1,0,0,0
2006,2,0,0,0
2006,3,2507632368.187599,3.5997778698909817e-4,142341.62276140088
2006,4,29012080332.61722,0.004164766975644725,1646729.5000917937
2006,5,223287472002.22314,0.03205355420254221,12674545.7230075
2006,6,545230923483.0752,0.07826945597105821,30949135.69183602
2006,7,765109169504.3875,0.10983360604900737,43427697.213326566
2006,8,999357615587.6913,0.14346063937991324,56726889.68539997
2006,9,1396799314073.1714,0.20051453009093326,79287013.34354155
2006,10,3004771086243.199,0.43134346954391195,170560883.5921666
2007,1,0,0,0
2007,2,0,0,0
2007,3,3244835678.1721444,4.085250947631289e-4,178277.87913697844
2007,4,32272156254.768517,0.0040630672859269445,1773097.9756479599
2007,5,233985146519.364,0.02945875034535928,12855620.379065108
2007,6,594862132267.2201,0.07489319431187866,32681141.207956273
2007,7,843982217556.28125,0.10625743476779037,46370101.508503996
2007,8,1111534708619.4443,0.13994231671757865,61069980.14501645
2007,9,1560706464918.9734,0.196493079993996,85748391.01801953
2007,10,3562218593585.0093,0.448483631482707,195715542.74957472
2008,1,339153399.60094976,4.412354910805699e-5,18039.114919469695
2008,2,4478043389.940683,5.825893759476985e-4,238181.1281283274
2008,3,14979613625.488655,0.0019488341210840022,796745.5787186136
2008,4,45881159304.09974,0.005969097134426488,2440357.390782391
2008,5,214013918582.9203,0.027843016338659602,11383113.588794228
2008,6,563697320440.9414,0.07333650917201763,29980710.58615793
2008,7,810452742666.7749,0.10543916538325265,43106895.519747615
2008,8,1073674367072.0365,0.13968405953561416,57107301.05164813
2008,9,1508822394770.817,0.1962964225313337,80252241.62389325
2008,10,3450110052923.8096,0.448856182858556,183506731.180459
2009,1,596528961.3257887,8.474015294953686e-5,32286.694161387135
2009,2,5290794860.634199,7.515859158259834e-4,286344.90775743895
2009,3,15923153004.14309,0.0022619696753885493,861782.378315911
2009,4,46714201093.00188,0.00663600395316677,2528235.162255879
2009,5,222440028888.7814,0.031598804571435046,12038752.442971338
2009,6,527380557076.3005,0.07491724956644723,28542542.46232075
2009,7,734182098757.073,0.10429452277256387,39734919.02132776
2009,8,971181785881.2528,0.1379616052412171,52561659.67858704
2009,9,1371681176830.9392,0.19485470154595402,74237223.40374191
2009,10,3144117399880.7046,0.4466388166050519,170163846.93839392
2010,1,665820201.0004131,1.087673205634316e-4,35814.1144102207
2010,2,5154515044.437305,8.420333137158684e-4,277258.6221525096
2010,3,14274703379.07087,0.002331892658177757,767828.7009343698
2010,4,39212852767.96231,0.006405748760417915,2109238.4900200265
2010,5,180769324338.7943,0.029530187006717723,9723485.790909274
2010,6,455832208771.2052,0.0744640188147791,24518972.017169878
2010,7,639873858749.0248,0.10452876769155275,34418474.4633976
2010,8,846393392256.742,0.1382654675842469,45527050.30696262
2010,9,1190773837149.8936,0.19452290493623764,64051091.23500046
2010,10,2748559124164.4106,0.4490002119135911,147843533.11626112
2011,1,560771973.1733145,9.063434416026077e-5,30258.024775984162
2011,2,4965892222.614425,8.026085580209524e-4,267948.64418142906
2011,3,14148326509.001057,0.0022867125239018006,763412.6427993879
2011,4,37575030591.83433,0.006073035774632222,2027466.173411446
2011,5,179169126720.79065,0.02895807399612438,9667572.80099232
2011,6,468166850452.9944,0.0756671115502911,25259892.65420278
2011,7,657494386280.7389,0.10626703070124782,35476953.88122478
2011,8,870850753029.7681,0.14075059139577958,46989195.113029085
2011,9,1226962460524.7673,0.19830687559086105,66204201.18301232
2011,10,2727297122484.998,0.4407973255649808,147158966.30254132
2012,1,633769108.6921566,1.0144203758037331e-4,33730.858943645566
2012,2,5131485363.926816,8.213532720217322e-4,273096.6133010546
