year,decile,Total,Percent,Value per person
1997,1,164631419088.1609,0.0685871214858712,19450782.028374396
1997,2,170283121475.72336,0.07094167810941679,20116139.571851548
1997,3,187581702264.1742,0.07814844258148441,22159681.30704952
1997,4,222213558146.70862,0.09257642552576426,26253964.80939374
1997,5,225013388611.26535,0.09374286333742864,26581617.08343359
1997,6,236698430748.34967,0.09861097058610971,27962011.901754245
1997,7,247311418841.3844,0.1030324492303245,29219213.001108743
1997,8,259464834104.50983,0.10809568548095685,30651486.6041949
1997,9,287601915972.6078,0.11981787959817879,33975418.307455145
1997,10,399525745943.6116,0.16644648406446483,47202947.29957604
1998,1,174937116135.19537,0.06758843901384767,20068500.18758694
1998,2,168442804227.50912,0.06507930650951203,19323483.33457716
1998,3,193004537445.6019,0.07456894052407133,22141165.245566353
1998,4,227908053071.31265,0.08805420991318191,26145239.540129937
1998,5,236407961303.43143,0.09133822157326825,27120335.127157442
1998,6,246418888535.0801,0.09520602824355452,28268772.34542619
1998,7,262579628986.03467,0.10144986742713764,30122706.089943178
1998,8,280520847806.6384,0.10838160953470352,32180893.40445548
1998,9,310253472228.5402,0.11986906123653845,35591771.50723187
1998,10,487796499234.2567,0.18846431602418467,55959217.532896265
1999,1,206163146932.24045,0.07089785005493887,22940152.101061583
1999,2,189292099120.1398,0.0650960322429264,21062879.617240436
1999,3,217559199400.69623,0.07481686095067545,24208211.794892203
1999,4,253634032932.32858,0.08722270640142989,28219184.794429082
1999,5,263183059210.62292,0.0905065398281271,29284862.491445746
1999,6,285671181304.0732,0.09824002436172619,31787157.149668764
1999,7,307068930154.6732,0.10559853829642903,34164322.4471154
1999,8,324303435714.3906,0.11152534630807356,36085839.06914327
1999,9,359720741138.9709,0.12370507312494816,40026787.708798364
1999,10,501294142158.37476,0.17239102843072532,55779920.12444361
2000,1,210106726564.13693,0.06700993218535135,22655458.97823344
2000,2,187721987903.16946,0.059870704212084375,20241749.82781642
2000,3,221629022559.33173,0.07068477061572334,23897888.997124404
2000,4,268547736439.95584,0.08564868865289663,28957055.90251842
2000,5,293942663146.57275,0.09374796440808243,31691931.33655771
2000,6,303809041500.78925,0.09689467634464313,32759223.797799144
2000,7,329216536842.2523,0.1049979606500666,35498871.775097296
2000,8,354935105896.1572,0.11320045657387207,38272062.31358176
2000,9,393395128525.3321,0.12546662030110226,42419142.60570758
2000,10,572152537624.4954,0.1824782260561778,61694256.80660938
2001,1,225782770232.6558,0.06687831502478805,23892356.638376273
2001,2,199154768762.1448,0.05899092898115724,21072348.82680614
2001,3,243450106612.04764,0.07211149418550229,25759190.203369763
2001,4,291528770757.8383,0.08635270507772348,30849605.37119982
2001,5,321821961871.75037,0.0953257439696402,34051630.71333725
2001,6,335714832204.1909,0.0994409019054476,35521620.167621516
2001,7,358527019799.3802,0.106198019230315,37939367.174537584
2001,8,379915660732.1043,0.1125334728381205,40198461.61592469
2001,9,415589976366.7874,0.1231004355733708,43973122.03648158
2001,10,604537738354.0779,0.17906798321393486,63972247.44487596
2002,1,225988644620.05164,0.06581438503316685,23408809.26248722
2002,2,194419034892.57578,0.05662040781610737,20138702.599189535
2002,3,249521230415.83957,0.07266775001083615,25843731.788279604
2002,4,295221624358.6382,0.08597701751042928,30580238.694700453
2002,5,333974569941.2007,0.09726298847604226,34590841.00892809
2002,6,351930101394.4546,0.10249215502344292,36454329.9559203
2002,7,366619714317.81573,0.10677019227859663,37975938.91835672
2002,8,393665338876.19684,0.11464665505901826,40773209.619492166
2002,9,427888682920.73944,0.12461347594002732,44322424.16829702
2002,10,594498267081.1329,0.17313497285233287,61580512.43848487
2003,1,238101709295.07172,0.06257923195355534,23896197.239569623
2003,2,205710961946.3506,0.05406611334770507,20643347.912328206
2003,3,271364684549.80246,0.07132159440905347,27234512.700702775
2003,4,337841107922.6451,0.08879330231912337,33902770.48897593
2003,5,371448021626.1177,0.097626060614388,37279006.58632253
2003,6,392901526304.84503,0.10326459151566345,39428151.1595429
2003,7,418757443127.46936,0.11006018916595015,42027041.66273277
2003,8,432052727802.03784,0.11355453074796412,43357022.358458385
