year,decile,Total,Percent,Value per person
1997,1,0,0,0
1997,2,0,0,0
1997,3,107552347.46128693,5.271158600660425e-5,7421.49789271922
1997,4,3524941452.2795973,0.0017275797220229004,243233.60835492666
1997,5,100315115306.3113,0.04916460638048243,6922102.905486565
1997,6,209931773952.74228,0.10288791476366504,14486045.677114427
1997,7,280947548152.26105,0.13769286489170318,19386388.914729577
1997,8,348094907273.73676,0.17060189829724573,24019797.631364666
1997,9,456695022765.13043,0.22382699717397883,31513595.277748443
1997,10,640776069590.968,0.31404542718489525,44215848.02587414
1998,1,0,0,0
1998,2,0,0,0
1998,3,102326343.08329162,4.855908993790912e-5,6992.847883775823
1998,4,3516615323.9624553,0.00166881405753281,240337.29660760355
1998,5,102602624209.6165,0.04869019948074147,7011728.573062018
1998,6,218084724135.31665,0.10349236974833444,14904642.163430607
1998,7,291862017498.36993,0.1385034735935669,19945466.92396432
1998,8,360816329224.09735,0.1712258256663926,24659399.20886395
1998,9,472174677523.54083,0.22407106460948784,32267797.274895158
1998,10,658094821149.6763,0.3122996937540062,44976409.318594605
1999,1,0,0,0
1999,2,0,0,0
1999,3,105733162.94305144,4.431703297464234e-5,7133.0474899177925
1999,4,4212805711.012206,0.0017657567825834061,284207.36092641205
1999,5,115639038646.27858,0.04846898500145415,7801324.876629466
1999,6,242423013499.02316,0.10160926225989168,16353414.294321584
1999,7,327297005890.21576,0.1371833755730054,22080348.50504053
1999,8,404558210549.5086,0.16956666251194483,27292600.050563894
1999,9,532620895841.5957,0.22324289888791943,35932058.0072587
1999,10,758979076895.959,0.3181187419502264,51202798.144502394
2000,1,0,0,0
2000,2,0,0,0
2000,3,153965776.86516085,5.902576173347821e-5,10178.209616259724
2000,4,3937124865.5519705,0.0015093730500418,260288.56707338162
2000,5,123194616603.1094,0.04722904163845878,8144560.135072683
2000,6,260268148235.06403,0.0997788340846068,17205536.341314472
2000,7,354234404503.4851,0.13580261785276324,23418908.13853531
2000,8,441300480241.3778,0.169181083809354,29173033.664399933
2000,9,583571142382.2096,0.22372329686585252,38580665.23748576
2000,10,841790603137.3534,0.32271672693718934,55651897.60262815
2001,1,0,0,0
2001,2,0,0,0
2001,3,100416154.61372826,3.471920840204843e-5,6527.735462115858
2001,4,3059739299.4065433,0.0010579147030741816,198903.93937505968
2001,5,142942396092.64215,0.04942279316031594,9292231.430321924
2001,6,299585690457.4339,0.10358271596113491,19475114.766783714
2001,7,398020102725.6971,0.13761673057383703,25874023.44963252
2001,8,487307784675.17456,0.16848823376238786,31678332.228770368
2001,9,645082237487.5269,0.22303925823432405,41934748.5852907
2001,10,916137926369.4132,0.316757634396524,59559090.25935595
2002,1,0,0,0
2002,2,0,0,0
2002,3,87053718.33764027,2.945986758264681e-5,5601.191502872234
2002,4,3251877607.58024,0.001100468601958226,209245.06837270703
2002,5,152169899654.19522,0.05149584853446663,9791512.750414724
2002,6,309228848457.6108,0.10464620124510705,19896335.636186514
2002,7,405858475812.3915,0.13734665426184503,26115338.511832666
2002,8,496408383805.84985,0.1679896681393433,31939800.78534615
2002,9,659316780844.6624,0.22311953388787575,42424347.26495479
2002,10,928672218119.1715,0.31427216546182146,59756271.676158
2003,1,0,0,0
2003,2,0,0,0
2003,3,96302765.6477438,2.9299491025984462e-5,6068.992037291644
2003,4,3989686005.406529,0.0012138360567907848,251429.6701163681
2003,5,176778859638.1784,0.05378381998392713,11140588.58319753
2003,6,347344815138.28235,0.10567740423252076,21888261.08376598
2003,7,450564870867.12415,0.13708143584248592,28394559.54544518
2003,8,552211064254.5228,0.16800663005625502,34800293.94092027
2003,9,729443922645.0405,0.2219285762121618,45969493.486579314
2003,10,1026411385319.1931,0.31227899812483256,64684357.53208931
2004,1,0,0,0
2004,2,0,0,0
2004,3,85360655.54330164,2.298931499743884e-5,5308.828630095258
2004,4,3275715156.4742007,8.822149630267155e-4,203713.6291339677
2004,5,191554646080.14038,0.0515894596864401,11913343.247723142
2004,6,384616441234.71716,0.10358482446580373,23920420.5009464
2004,7,501720590558.18414,0.13512329097791514,31201529.263568666
2004,8,617005490910.3844,0.16617179771414364,38373374.644591354
2004,9,823439566259.9166,0.22176858237107483,51212113.08289798
2004,10,1191359996774.4612,0.32085684050659824,74094159.88397668
2005,1,0,0,0
2005,2,0,0,0
2005,3,64117298.308022074,1.3431725197647836e-5,3849.2704753570315
2005,4,2018412550.736535,4.228307092219539e-4,121182.30972241444
2005,5,195606488986.18143,0.04097696996397611,11743200.395400219
2005,6,461634289050.02966,0.0967062723470328,27714131.53929457
2005,7,629734457062.0696,0.13192103220121798,37808264.713140585
2005,8,791607553062.4344,0.1658313029042076,47524017.113671996
2005,9,1071394925343.1843,0.22444305351467955,64321001.70157798
2005,10,1621511086058.2844,0.3396851066344664,97352971.06497866
2006,1,0,0,0
2006,2,0,0,0
2006,3,26446745.973215334,5.2425763926785025e-6,1501.2059926897505
2006,4,605870907.750024,1.201026591777257e-4,34389.31250709638
2006,5,133125706480.26419,0.026389699767181946,7556661.547384015
2006,6,462101588140.3576,0.0916030607114176,26230435.836995948
2006,7,665938680604.0978,0.13200997995906022,37798767.204228505
2006,8,850366265773.1318,0.16856932473233072,48269641.01567417
2006,9,1151534596167.2063,0.22827035489859185,65364965.44060886
2006,10,1780909448338.517,0.3530322346958471,101090392.70809543
2007,1,0,0,0
2007,2,0,0,0
2007,3,27459822.38227485,4.917206534967486e-6,1508.6985540505934
2007,4,613269366.5374717,1.0981761261427384e-4,33694.26770712992
2007,5,134415830561.23537,0.024069725988665837,7385079.422077653
2007,6,502356855616.9317,0.08995660565232892,27598992.177614093
2007,7,731712733746.3505,0.1310271634684336,40201787.470268145
2007,8,939741483158.8693,0.1682786908757135,51631310.54111693
2007,9,1278991570462.1519,0.22902790924475805,70270401.10225548
2007,10,1996576225592.822,0.3575251699509509,109695963.1664646
2008,1,0,0,0
2008,2,8123434.720980832,1.5948569054513007e-6,432.07460884957356
2008,3,48740608.32588499,9.569141432707803e-6,2592.447653097441
2008,4,544270126.3057157,1.0685541266523714e-4,28948.998792921422
2008,5,93344357520.1105,0.01832610198631453,4964861.311638238
2008,6,449798642218.06915,0.08830802428329124,23922914.701524794
2008,7,674779197674.3136,0.13247798499399138,35890601.44004647
2008,8,862002028547.439,0.16923505080815385,45848732.96885479
2008,9,1174819252782.969,0.23064980052327258,62487062.00643418
2008,10,1838174870380.903,0.360885017993973,97770058.52778593
2009,1,0,0,0
2009,2,10878947.622962711,2.3170943636679602e-6,588.783223627359
2009,3,81592107.17222033,1.7378207727509702e-5,4415.874177205192
2009,4,781471070.9161547,1.6644461179014846e-4,42294.26156389862
2009,5,110816586803.3725,0.02360269555310973,5997542.176942821
2009,6,431040223243.2171,0.09180675433007009,23328474.494951405
2009,7,610606319549.9025,0.1300523277143795,33046832.25360732
2009,8,777587286614.7572,0.16561740910231904,42084065.95306366
2009,9,1064173217004.4009,0.22665701210681802,57594480.54361644
2009,10,1699984245038.7708,0.36207766127942226,92005425.39583108
2010,1,0,0,0
2010,2,5161396.9069799455,1.275200620937689e-6,277.6287938776798
2010,3,56775365.9767794,1.402720683031458e-5,3053.916732654478
2010,4,600442506.8453337,1.4834833890241782e-4,32297.48302110342
2010,5,81685987915.50029,0.020181750093833516,4393845.834839454
2010,6,372030048123.84314,0.09191561062344134,20011298.376840577
2010,7,533087997674.88104,0.13170739586605462,28674519.80393099
2010,8,676149876676.9155,0.16705298161033186,36369742.169701226
2010,9,923738645373.4723,0.2282235052629655,49687410.32615095
2010,10,1460162625915.898,0.3607551057970195,78541370.87385821
2011,1,0,0,0
2011,2,8270973.055653606,1.9347471691746796e-6,446.283551268203
2011,3,47971643.72279091,1.122153358121314e-5,2588.444597355577
2011,4,504529356.3948699,1.1801957731965546e-4,27223.29662736038
2011,5,82488068478.64453,0.019295620467612913,4450875.113508041
2011,6,389587643840.4518,0.09113239590963494,21020159.913696546
2011,7,555931799741.1459,0.13004364402664226,29996859.641782004
2011,8,708134245911.2836,0.1656468614337947,38209369.55221948
2011,9,969763319802.3295,0.226847170838562,52326300.102645524
2011,10,1568497405106.483,0.36690313146568326,84632677.12224048
2012,1,0,0,0
2012,2,11008396.428896021,2.473399472035216e-6,585.8646316602459
2012,3,53469354.08320924,1.2013654578456763e-5,2845.779662739328
2012,4,430900088.78821564,9.681592219109272e-5,22932.415582129623
