year,decile,Total,Percent,Value per person
1997,1,5252717872.786723,0.0044682383217839895,620595.2118131762
1997,2,15837950521.315317,0.013472594411455688,1870992.3829078933
1997,3,31002831513.356773,0.02637264045142783,3662472.712741497
1997,4,52350237769.1406,0.044531867924305565,6185046.995408861
1997,5,79252202356.7154,0.06741609510205526,9362339.321525741
1997,6,107274793016.22556,0.09125358580552244,12672745.778644484
1997,7,137132712443.7041,0.11665230376937516,16201880.014615323
1997,8,171382930964.2791,0.14578734254919784,20246063.905998714
1997,9,217897586526.00406,0.18535515706713573,25741002.542942002
1997,10,358184011351.71814,0.3046901745977405,42318526.8610253
1998,1,5583607454.244946,0.004375613107059519,640542.3258282604
1998,2,17340904274.515152,0.013589259032553813,1989320.2104525813
1998,3,34091726637.249996,0.026716098353732374,3910947.1879373635
1998,4,57797329451.54588,0.0452930751979985,6630415.217568645
1998,5,86864832643.40627,0.06807192363926987,9964991.699369768
1998,6,115898227054.23888,0.09082404261745596,13295655.277531132
1998,7,147619393410.05927,0.11568244328676171,16934655.662505366
1998,8,183300589243.20306,0.1436441346202679,21027944.160055418
1998,9,231639553715.75003,0.18152512970471962,26573311.19831938
1998,10,395938141048.3858,0.3102782804401808,45421376.74066603
1999,1,5861582220.655415,0.004177459614750624,652229.0219934811
1999,2,19081531749.878815,0.013599114585786276,2123237.0924534122
1999,3,38024288723.39488,0.027099326520039563,4231032.460598073
1999,4,65204319922.44304,0.04647011727028682,7254597.23213652
1999,5,97109301840.5088,0.06920830782272877,10805530.415100567
1999,6,129463649701.08255,0.09226675458013471,14405658.13965534
1999,7,163727802817.31516,0.1166862902086375,18216266.44607423
1999,8,202753252427.32706,0.14449912871473652,22560726.87518939
1999,9,254955697469.11673,0.18170300946639667,28369388.8359983
1999,10,426963728609.4096,0.30429049121650265,47509038.45659392
2000,1,6337734121.163866,0.004146562588014235,683387.3324524333
2000,2,20493159116.62406,0.013407972830455547,2209743.273304298
2000,3,41162279121.09402,0.026931070849274402,4438460.11657257
2000,4,71440120465.43463,0.04674082647550404,7703269.405373585
2000,5,105944165276.78833,0.06931564242938817,11422551.512322191
2000,6,140856690720.64142,0.09215771328483,15188342.756161464
2000,7,177937305675.4529,0.11641829092546262,19186683.8123197
2000,8,219677741999.46918,0.14372763025078789,23687485.658773903
2000,9,277169819944.4049,0.18134272974156454,29886760.83075317
2000,10,467411819134.2245,0.30581156062471865,50400239.28555364
2001,1,6497515886.770652,0.003917218489983494,687567.818705889
2001,2,21621960821.385426,0.01303543480234962,2287796.0873331316
2001,3,45213850322.98723,0.02725849902870787,4784028.17934475
2001,4,79370109973.21567,0.047850604409007465,8398953.436319118
2001,5,116438438107.24225,0.0701983358943633,12320224.11461668
2001,6,154534555117.90344,0.09316570012268018,16351132.696847258
2001,7,193431047949.16232,0.11661559444680863,20468893.96287432
2001,8,237513739824.589,0.14319214134748756,25131069.709511057
2001,9,298912311538.2595,0.1802080755239725,31627585.60345567
2001,10,505172999947.4817,0.30455839593463946,53457460.31190282
2002,1,6290333196.010136,0.0037233052312438506,651577.9154765005
2002,2,21426447448.909527,0.012682508443924366,2219437.27459183
2002,3,46542849281.55,0.02754913433153374,4820595.471936821
2002,4,82512884061.77046,0.04884012393287413,8547015.1296634
2002,5,121223706877.39534,0.07175341081354221,12555536.704028517
2002,6,160479317478.7461,0.09498916252227335,16623090.685596239
2002,7,200302181341.52277,0.1185606765777506,20748102.479958855
2002,8,244663071295.70673,0.14481828940719663,25340556.322703958
2002,9,306440321286.3438,0.18138480359564907,31742316.27163288
2002,10,499567591326.1675,0.29569858514401215,51747212.691751346
2003,1,6639387814.514452,0.003556143743073404,666337.596799925
2003,2,23660213765.855686,0.012672722771109904,2374331.536964946
2003,3,52215359534.20669,0.027967235728265222,5240401.398455108
2003,4,92194764815.97005,0.04938073286330731,9251857.984542904
2003,5,133946140985.6519,0.07174332099318541,13443008.930715768
2003,6,176888919941.77582,0.09474404018015042,17751020.56615914
2003,7,220924047411.10416,0.11832983564809356,22172224.750211176
2003,8,268648946558.5361,0.14389192152609115,26959252.03798656
2003,9,334698886254.93866,0.17926914098422506,33590815.561515324
2003,10,557202299022.6658,0.29844490556249853,55921547.47316999
2004,1,7143619860.780057,0.003423361695164853,712793.8396308179
2004,2,25925631600.79215,0.012424067332078867,2586872.041587722
2004,3,57610439930.27143,0.027608044260819763,5748397.518486473
2004,4,101269747720.18451,0.0485304344269001,10104744.33448259
2004,5,147972696384.31342,0.07091139654749243,14764787.10679639
2004,6,195177138899.75925,0.0935326842837274,19474869.177784797
2004,7,243091141864.40875,0.11649400719954184,24255751.533068124
2004,8,296670958340.7449,0.14217049824102101,29601971.49678157
2004,9,371494907965.4203,0.17802759142600016,37067941.32562565
2004,10,640370302844.8776,0.30687791458725355,63896458.07671897
2005,1,7712028640.488894,0.0031694735532886847,757120.4241595223
2005,2,28016694668.673325,0.011514243131401926,2750239.979255259
2005,3,61680840972.31724,0.025349464235647778,6054858.247994232
2005,4,109027618734.89305,0.04480794486992194,10702622.8266313
2005,5,162519398367.30972,0.06679188564176833,15953607.378748378
2005,6,217826979887.80954,0.08952208091169533,21382838.901326153
2005,7,275432525379.66895,0.11319668865376954,27037648.51081466
2005,8,343001899028.5949,0.14096620984929456,33670550.60651761
2005,9,436305391526.42865,0.17931188589473598,42829625.16211138
2005,10,791697317280.0657,0.32537012325847603,77724064.13509382
2006,1,8508639454.473552,0.0030689024533009134,806353.2462541274
2006,2,30538778850.161926,0.011014749636006838,2894122.332274633
2006,3,65361930547.98473,0.02357479008065516,6194269.384759736
2006,4,116704681480.5314,0.042093131954133826,11058910.402779438
2006,5,177914472910.7213,0.06417032538690803,16860734.73376813
2006,6,241492450230.331,0.08710167788057556,22885941.075656842
2006,7,308708057246.0747,0.11134505337843756,29253108.807549957
2006,8,388454613353.8547,0.14010810098328016,36813363.661282666
2006,9,497571482989.7072,0.1794644552763183,47154234.551716
2006,10,937279890039.6532,0.33805881297038365,88824856.90292393
2007,1,9038858200.832138,0.0028219607125915167,825014.4396524405
2007,2,32933480310.474968,0.010281938879903066,3005976.6621463094
2007,3,70782268827.37714,0.022098452851109063,6460594.087931465
2007,4,128317461673.8385,0.040061125812296025,11711003.164537601
2007,5,199415518458.6118,0.0622581686832374,18201489.45405365
2007,6,273135988280.89236,0.08527393737104712,24930265.450975936
2007,7,352856429293.69995,0.11016291643567072,32203744.573669795
2007,8,444972691793.5728,0.13892191098892934,40614520.97422169
2007,9,573997243893.7549,0.1792037927151977,52391132.15532629
2007,10,1117591887773.2676,0.34891579555001795,102007291.69160894
2008,1,10834631059.108185,0.0030510750535868293,1015334.1822798412
2008,2,38793462510.04397,0.010924392816047913,3635069.5755288578
2008,3,79564981374.64676,0.022405814142347664,7456187.927527576
2008,4,137582552151.89188,0.038743792048789756,12891918.30508732
2008,5,211160562137.17575,0.05946365131616573,19786409.49561242
2008,6,290353896373.33765,0.08176480815114576,27209623.875301063
2008,7,377439147440.9324,0.10628836004858845,35367236.45436023
2008,8,477694517049.91736,0.1345206695322562,44765674.91799432
2008,9,630057658676.6338,0.17742673416586413,59038386.30778053
2008,10,1297604968590.5942,0.36541070272520765,121601065.3725606
2009,1,814107913.7850429,2.2501336799908992e-4,57082.310600549914
2009,2,5334310651.126049,0.0014743637609205401,374022.6231332246
2009,3,20136932050.10398,0.0055656981403071105,1411929.0457231791
2009,4,60169646144.669594,0.016630442354231178,4218878.568550666
