year,decile,Total,Percent,Value per person
1997,1,0,0,0
1997,2,0,0,0
1997,3,950623974.3352457,0.0025720695772982,65596.46524532471
1997,4,5048021469.553951,0.01365825268236818,348331.59464214405
1997,5,10838501079.647108,0.029325348027297728,747895.4650598336
1997,6,9454198284.903448,0.025579889044297796,652373.6050858024
1997,7,11653817262.014929,0.03153132011001698,804155.2071498019
1997,8,21295364797.334812,0.057618113377577926,1469456.5827584055
1997,9,39225381948.30032,0.10613072496691041,2706692.1024220483
1997,10,271129059658.21457,0.7335842822142327,18708877.978071664
1998,1,0,0,0
1998,2,0,0,0
1998,3,1108535383.4023259,0.0025058984995450827,75755.85207423808
1998,4,5392598280.489469,0.012190232393171619,368548.26957965206
1998,5,11712955404.934114,0.02647770906903943,800447.9877628726
1998,6,10396356457.262428,0.023501472697272038,710521.9011250976
1998,7,12620248980.272635,0.02852869061020556,862451.2389990183
1998,8,23030248949.946167,0.052061005135164304,1573964.5263768567
1998,9,43280632246.12958,0.0978379878791617,2957741.559907714
1998,10,334828848959.04407,0.7568970037164402,22883327.566911157
1999,1,0,0,0
1999,2,0,0,0
1999,3,1215931373.8450916,0.0027618089848851,82030.04613405462
1999,4,5828540607.235711,0.013238671329720966,393209.2428817183
1999,5,12750758618.66361,0.028961469762694567,860200.9457372739
1999,6,10983032300.709469,0.024946339852603455,740895.3251962675
1999,7,13960081669.824762,0.03170826891614007,941785.1764032086
1999,8,24388014865.08321,0.055393782927817714,1645281.985096351
1999,9,47044649186.97395,0.10685499001846209,3173760.317545298
1999,10,324095273549.8465,0.736134668207676,21864350.910736457
2000,1,0,0,0
2000,2,6284317.4230677895,1.4530976408959799e-5,415.4645922959004
2000,3,1222299738.7866852,0.0028262749115426813,80802.52123928639
2000,4,5099723588.819511,0.011791887355870877,337149.5166481232
2000,5,12826291860.481358,0.029657722850686952,847963.2328759327
2000,6,11069825140.73391,0.025596314944382685,731792.4995527143
2000,7,13806645378.479935,0.03192455517048468,912775.7092740933
2000,8,23870979731.523,0.0551959138894338,1578037.9276474514
2000,9,45489031666.8762,0.10518247273625551,3007340.4513338753
2000,10,319086217156.267,0.7378103271649339,21095214.673824344
2001,1,0,0,0
2001,2,0,0,0
2001,3,939186387.2695761,0.0022259866440801357,61053.52579273068
2001,4,4952879155.506538,0.011738929566422604,321970.95205789106
2001,5,14480600178.562048,0.034320794075235556,941337.8520810016
2001,6,10800643453.600124,0.025598846406921564,702115.5466164028
2001,7,12826687043.747702,0.030400817595094432,833822.209175564
2001,8,22956904994.48558,0.05441067353595879,1492355.5219713696
2001,9,43772583162.64901,0.10374637752173488,2845516.6848240923
2001,10,311189663147.94385,0.7375575746545521,20230767.335063312
2002,1,0,0,0
2002,2,0,0,0
2002,3,741360698.1011945,0.0017865843755075523,47700.46957284741
2002,4,5548972497.908941,0.013372313356071681,357053.76088468835
2002,5,14487423642.060844,0.03491283633804342,932206.656074953
2002,6,10207750521.203949,0.02459937198852255,656784.8746109863
2002,7,12569433654.170254,0.030290726002923502,808791.8186841422
2002,8,22712595932.736595,0.05473444859509501,1461368.9314590525
2002,9,42628240140.818695,0.10272860159168427,2742953.4869582844
2002,10,306064024568.36816,0.737575117752152,19693972.36782499
2003,1,0,0,0
2003,2,0,0,0
2003,3,652107298.8147224,0.0014113359455950837,41095.746081089135
2003,4,6298200873.362445,0.013631004132772769,396912.0792388735
2003,5,14024434185.901434,0.030352655336279077,883818.6404021574
2003,6,9434919525.888958,0.020419708681204816,594550.351369901
2003,7,12783504262.840506,0.02766694853685552,805615.3430073422
2003,8,22218423788.729465,0.04808665721806034,1400203.1628894294
2003,9,42618101060.511536,0.09223705679882806,2685789.0761602935
2003,10,354019972551.46594,0.7661946333504043,22310308.32817406
2004,1,0,0,0
2004,2,0,0,0
2004,3,538839138.1170917,0.001047424476547025,33511.980727476315
2004,4,5748506646.744221,0.011174256173063562,357494.19444926747
2004,5,14223219229.902637,0.02764785796509276,884583.5704896223
2004,6,9976526616.62338,0.019392908625177598,620469.3461423833
2004,7,12620039417.980003,0.02453151088388107,784828.3220136818
2004,8,23652904146.951744,0.0459777863046657,1471043.233220458
2004,9,46153439444.06892,0.08971553610503281,2870417.2799346303
2004,10,401528521114.2338,0.7805127194665394,24972232.173284024
2005,1,0,0,0
2005,2,0,0,0
2005,3,484726775.2086469,7.249712313003452e-4,29100.484793699157
2005,4,4857526519.815752,0.007265055619485999,291638.239662329
2005,5,18014396132.62188,0.026942846183352513,1081491.0327563114
2005,6,12474661558.808775,0.01865746068277714,748914.0636854641
2005,7,14852130980.070232,0.022213271960107403,891698.545873573
2005,8,25836706526.200573,0.03864211737629459,1551102.0307498693
2005,9,54653585077.75802,0.08174146528576909,3281118.153194334
2005,10,537441453185.5703,0.8038128116609129,32267138.159556333
2006,1,0,0,0
2006,2,0,0,0
2006,3,271680208.6339393,3.19889482430141e-4,15421.479743085618
2006,4,2522057865.9911714,0.0029695935138868835,143152.33658707977
2006,5,18166510233.965004,0.021390132117187124,1031192.0437057958
2006,6,13257032481.482668,0.015609474390440683,752513.6221537531
2006,7,16009898312.330992,0.018850832420374414,908723.9364474396
2006,8,25896172807.04567,0.03049141252438096,1469953.6133873912
2006,9,59704731159.35058,0.07029925236449283,3389040.765133143
2006,10,713465887367.5996,0.840069413186807,40498716.4311517
2007,1,0,0,0
2007,2,0,0,0
2007,3,382149194.81999165,3.3790277707521874e-4,20996.05487720409
2007,4,2906164535.457422,0.0025696798017097477,159670.59697035447
2007,5,20661228024.129967,0.01826900703121048,1135169.9370435672
2007,6,17285958189.642017,0.015284536395366482,949673.56277563
2007,7,19876334767.70328,0.01757499114775659,1092046.3033736213
2007,8,33594804366.181423,0.02970509383378016,1845766.9560013968
2007,9,73898958667.76534,0.0653427082806414,4060159.2587091555
2007,10,962338628660.9496,0.85091608073246,52872843.72622106
2008,1,4061717.360490416,6.158659383025502e-6,216.03730442478678
2008,2,56864043.04686582,8.622123136235703e-5,3024.5222619470146
2008,3,398048301.3280608,6.035486195364992e-4,21171.655833629105
2008,4,1403323348.0494387,0.002127816816835311,74640.88867876383
2008,5,10852908787.230392,0.016455937871444143,577251.6774230303
2008,6,9754214241.217735,0.014790020508335744,518785.99304423656
2008,7,11033655209.772217,0.016729998213988777,586865.3374699333
2008,8,18677807282.215176,0.028320595172842772,993447.5443973818
2008,9,37979088179.26563,0.05758654456097996,2020056.8150239685
2008,10,569353261865.4243,0.8632931583452913,30283137.166396696
2009,1,9065789.68580226,1.3602629116155571e-5,490.67924257427256
2009,2,105163160.35530622,1.5779049774740462e-4,5691.571161731137
2009,3,547573697.0224565,8.215987986157964e-4,29635.422255910402
2009,4,2012605310.2481017,0.0030197836637865364,108924.89637106142
2009,5,11419268688.236526,0.017133871634709558,618026.1237341844
2009,6,8895352839.709177,0.013346899688771846,481428.41585263715
2009,7,11359434476.31023,0.01704409428254293,614787.8160042339
2009,8,19730784672.18004,0.029604762008400985,1067856.5065854867
2009,9,40857700955.973625,0.061304328900689924,2211273.526869818
2009,10,571536392319.969,0.8575532678956188,30932315.43648693
2010,1,18925121.9922598,2.9425612052730696e-5,1017.9722442181594
2010,2,118712128.86053875,1.845788392398562e-4,6385.462259186636
2010,3,541946675.2328943,8.42642526964561e-4,29151.023357156384
2010,4,1672292597.8615024,0.0026001540832049307,89951.72921636826
2010,5,10725382772.704327,0.016676296866974832,576912.6336778187
2010,6,8230707600.997354,0.012797466187296696,442725.38330360677
2010,7,9562348002.99818,0.014867959253552476,514353.61212404823
2010,8,17500576445.93334,0.027210665981852424,941346.6971079198
2010,9,35728909855.75084,0.055552880499914394,1921839.054152592
2010,10,559051544582.6259,0.8692379301489471,30071085.180067014
2011,1,23158724.555830095,3.799618952499335e-5,1249.5939435509683
2011,2,138952347.33498058,2.279771371499601e-4,7497.5636613058105
2011,3,592201670.7847981,9.716168464248299e-4,31953.90227080333
2011,4,1702166254.8535118,0.002792719930087011,91845.15485099616
2011,5,11190626544.299328,0.018360301581184287,603821.6448658786
2011,6,8529027414.989998,0.013993453799347551,460182.76761573314
2011,7,10064120014.119308,0.01651205836214711,543037.8251831494
2011,8,17997637369.102245,0.029528467287994832,971113.0075596096
2011,9,37048996705.49477,0.06078576119937686,1999082.5395507887
2011,10,522214350982.46844,0.8567896476667625,28177540.11668205
2012,1,25162048.980333757,4.347483486355694e-5,1339.1904295243896
